日期,最高温,最低温,天气,风力风向,空气质量指数

2022-01-01 周六,19°,10°,多云,东北风2级,64 良
2022-01-02 周日,23°,12°,多云,北风2级,62 良
2022-01-03 周一,25°,12°,多云,东风1级,74 良
2022-01-04 周二,25°,15°,晴~阴,东南风2级,88 良
2022-01-05 周三,24°,13°,多云,东北风1级,70 良
2022-01-06 周四,24°,11°,多云,东北风3级,60 良
2022-01-07 周五,22°,11°,晴~多云,东北风2级,47 优
2022-01-08 周六,22°,11°,晴~多云,东北风2级,47 优
2022-01-09 周日,18°,12°,多云,东北风2级,55 良
2022-01-10 周一,18°,11°,多云,东北风2级,39 优
2022-01-11 周二,17°,8°,晴,北风3级,24 优
2022-01-12 周三,15°,10°,多云,东北风2级,47 优
2022-01-13 周四,17°,10°,多云,东北风2级,56 良
2022-01-14 周五,15°,13°,多云,东风2级,67 良
2022-01-15 周六,19°,13°,多云,东北风1级,91 良
2022-01-16 周日,23°,13°,晴~阴,东南风1级,82 良
2022-01-17 周一,17°,12°,多云~小雨,北风3级,50 优
2022-01-18 周二,16°,12°,多云,北风3级,26 优
2022-01-19 周三,18°,10°,晴~多云,北风2级,26 优
2022-01-20 周四,21°,12°,多云~阴,东北风2级,34 优
2022-01-21 周五,23°,15°,多云~阴,东南风2级,67 良
2022-01-22 周六,21°,16°,多云~小雨,东风2级,57 良
2022-01-23 周日,21°,15°,多云~小雨,东北风1级,25 优
2022-01-24 周一,18°,14°,多云~阴,北风2级,30 优
2022-01-25 周二,19°,13°,阴~小雨,东北风2级,18 优
2022-01-26 周三,20°,16°,多云~小雨,东南风2级,29 优
2022-01-27 周四,26°,17°,多云~小雨,东南风2级,41 优
2022-01-28 周五,20°,12°,多云~阴,北风2级,32 优
2022-01-29 周六,14°,8°,多云~小雨,北风3级,20 优
2022-01-30 周日,14°,8°,多云,北风3级,15 优
2022-01-31 周一,9°,6°,小雨~中雨,东北风3级,21 优

2022-02-01 周二,11°,8°,中雨~小雨,北风3级,16 优
2022-02-02 周三,10°,7°,小雨~大雨,北风2级,12 优
2022-02-03 周四,10°,7°,小雨~多云,北风3级,11 优
2022-02-04 周五,15°,6°,多云,北风3级,31 优
2022-02-05 周六,13°,9°,多云,东北风3级,29 优
2022-02-06 周日,15°,11°,多云~大雨,东北风2级,24 优
2022-02-07 周一,15°,8°,小雨~阴,东北风2级,30 优
2022-02-08 周二,13°,9°,多云~阴,北风3级,11 优
2022-02-09 周三,11°,9°,多云~阴,北风2级,14 优
2022-02-10 周四,16°,8°,阴,东北风2级,17 优
2022-02-11 周五,22°,13°,多云~阴,北风1级,42 优
2022-02-12 周六,20°,15°,多云~小雨,北风2级,24 优
2022-02-13 周日,13°,9°,多云~小雨,北风3级,18 优
2022-02-14 周一,21°,10°,晴~多云,北风3级,18 优
2022-02-15 周二,21°,12°,多云~阴,东北风2级,28 优
2022-02-16 周三,20°,13°,多云~小雨,东南风2级,44 优
2022-02-17 周四,16°,13°,小雨~中雨,东南风2级,46 优
2022-02-18 周五,17°,10°,多云~小雨,东北风2级,31 优
2022-02-19 周六,9°,5°,中雨~大雨,北风4级,12 优
2022-02-20 周日,6°,4°,大雨,北风4级,14 优
2022-02-21 周一,7°,5°,中雨,北风3级,14 优
2022-02-22 周二,9°,6°,小雨~中雨,北风3级,14 优
2022-02-23 周三,14°,5°,多云,北风4级,15 优
2022-02-24 周四,16°,6°,多云~晴,北风3级,24 优
2022-02-25 周五,19°,8°,多云~晴,东北风2级,39 优
2022-02-26 周六,23°,10°,多云,北风1级,75 良
2022-02-27 周日,25°,13°,多云,东南风2级,100 良
2022-02-28 周一,25°,14°,阴~多云,东南风2级,42 优

2022-03-01 周二,27°,15°,阴~多云,西北风1级,54 良
2022-03-02 周三,27°,16°,多云,东北风2级,68 良
2022-03-03 周四,26°,17°,多云,东南风3级,53 良
2022-03-04 周五,28°,17°,多云,东南风2级,62 良
2022-03-05 周六,29°,17°,多云,东南风2级,78 良
2022-03-06 周日,25°,14°,多云~小雨,东南风3级,44 优
2022-03-07 周一,24°,12°,多云~晴,北风3级,35 优
2022-03-08 周二,24°,10°,晴,东北风3级,44 优
2022-03-09 周三,25°,12°,晴~多云,东南风2级,52 良
2022-03-10 周四,26°,15°,晴~多云,东南风2级,53 良
2022-03-11 周五,27°,16°,多云,东南风2级,56 良
2022-03-12 周六,28°,17°,多云,东南风3级,46 优
2022-03-13 周日,29°,18°,多云,东南风3级,48 优
2022-03-14 周一,30°,19°,多云,东南风2级,53 良
2022-03-15 周二,30°,19°,多云,东南风2级,82 良
2022-03-16 周三,26°,20°,多云~阵雨,东南风3级,32 优
2022-03-17 周四,29°,19°,多云~雷阵雨,南风2级,36 优
2022-03-18 周五,30°,20°,多云,北风2级,48 优
2022-03-19 周六,29°,21°,多云~阵雨,东南风3级,50 优
2022-03-20 周日,25°,22°,小雨~雷阵雨,东南风3级,34 优
2022-03-21 周一,27°,21°,多云~雷阵雨,东南风3级,41 优
2022-03-22 周二,29°,14°,多云~大雨,东南风3级,36 优
2022-03-23 周三,14°,13°,中雨,北风3级,12 优
2022-03-24 周四,16°,13°,中雨,东北风2级,20 优
2022-03-25 周五,23°,19°,暴雨~小雨,南风3级,35 优
2022-03-26 周六,31°,16°,大雨~小雨,西南风2级,33 优
2022-03-27 周日,22°,15°,多云~小雨,北风3级,21 优
2022-03-28 周一,16°,14°,小雨~阵雨,东北风3级,17 优
2022-03-29 周二,19°,18°,多云~中雨,东北风2级,26 优
2022-03-30 周三,27°,20°,雾~阴,东北风1级,54 良
2022-03-31 周四,30°,16°,多云~小雨,东北风1级,66 良

2022-04-01 周五,18°,12°,多云~小雨,北风4级,20 优
2022-04-02 周六,17°,12°,多云~阴,东北风4级,26 优
2022-04-03 周日,20°,10°,晴,东北风3级,38 优
2022-04-04 周一,26°,11°,晴,东北风2级,63 良
2022-04-05 周二,28°,15°,晴,西北风1级,79 良
2022-04-06 周三,30°,17°,多云~晴,东风2级,86 良
2022-04-07 周四,30°,16°,多云~晴,东北风2级,58 良
2022-04-08 周五,30°,16°,晴,西南风2级,66 良
2022-04-09 周六,30°,16°,晴,东南风2级,69 良
2022-04-10 周日,31°,17°,晴,南风2级,69 良
2022-04-11 周一,30°,18°,晴~多云,南风2级,46 优
2022-04-12 周二,30°,20°,多云,东南风3级,37 优
2022-04-13 周三,29°,19°,多云,西南风3级,35 优
2022-04-14 周四,30°,18°,阴~晴,北风3级,32 优
2022-04-15 周五,28°,20°,多云~小雨,东南风3级,41 优
2022-04-16 周六,24°,19°,多云~小雨,东南风3级,44 优
2022-04-17 周日,20°,17°,多云~小雨,东北风2级,27 优
2022-04-18 周一,16°,15°,小雨,北风3级,20 优
2022-04-19 周二,16°,15°,小雨,东北风2级,16 优
2022-04-20 周三,23°,17°,多云,东南风1级,35 优
2022-04-21 周四,28°,21°,多云,东南风2级,82 良
2022-04-22 周五,28°,22°,多云~阵雨,东南风3级,38 优
2022-04-23 周六,30°,23°,阴~雷阵雨,南风2级,35 优
2022-04-24 周日,29°,24°,多云~雷阵雨,东南风3级,28 优
2022-04-25 周一,32°,24°,多云~雷阵雨,南风3级,24 优
2022-04-26 周二,30°,24°,多云~雷阵雨,南风3级,35 优
2022-04-27 周三,32°,24°,多云,南风3级,34 优
2022-04-28 周四,31°,25°,小雨~雷阵雨,南风3级,31 优
2022-04-29 周五,30°,24°,多云~雷阵雨,南风2级,36 优
2022-04-30 周六,29°,16°,多云~中雨,东北风2级,44 优

2022-05-01 周日,17°,16°,大雨~小雨,北风3级,21 优
2022-05-02 周一,21°,16°,多云,东北风3级,25 优
2022-05-03 周二,26°,15°,多云~晴,东北风2级,40 优
2022-05-04 周三,29°,18°,多云,东北风2级,59 良
2022-05-05 周四,30°,19°,多云,东南风2级,76 良
2022-05-06 周五,30°,21°,多云~阵雨,东南风2级,68 良
2022-05-07 周六,26°,21°,中雨~雷阵雨,东南风2级,46 优
2022-05-08 周日,24°,22°,小雨~雷阵雨,东南风1级,41 优
2022-05-09 周一,28°,23°,多云~雷阵雨,东南风1级,47 优
2022-05-10 周二,27°,23°,小雨~暴雨,东南风3级,29 优
2022-05-11 周三,26°,22°,小雨~暴雨,东南风2级,16 优
2022-05-12 周四,27°,23°,大暴雨~暴雨,东风2级,21 优
2022-05-13 周五,24°,22°,大雨~中雨,北风2级,19 优
2022-05-14 周六,24°,19°,多云~中雨,东北风2级,21 优
2022-05-15 周日,24°,16°,小雨~中雨,东北风3级,15 优
2022-05-16 周一,22°,16°,多云,北风3级,24 优
2022-05-17 周二,28°,17°,多云,东北风2级,32 优
2022-05-18 周三,29°,19°,多云,东南风2级,64 良
2022-05-19 周四,30°,21°,多云,南风1级,73 良
2022-05-20 周五,32°,23°,多云~阵雨,南风2级,54 良
2022-05-21 周六,28°,24°,大暴雨~中雨,东南风1级,58 良
2022-05-22 周日,27°,24°,多云~大雨,东南风2级,43 优
2022-05-23 周一,26°,23°,多云~阴,东风2级,42 优
2022-05-24 周二,29°,24°,多云~雷阵雨,东风2级,47 优
2022-05-25 周三,29°,24°,多云~雷阵雨,东南风2级,32 优
2022-05-26 周四,31°,25°,多云~雷阵雨,南风2级,27 优
2022-05-27 周五,29°,24°,大雨~中雨,东南风2级,26 优
2022-05-28 周六,32°,25°,多云~雷阵雨,东南风3级,30 优
2022-05-29 周日,32°,25°,多云~雷阵雨,东南风3级,25 优
2022-05-30 周一,33°,25°,小雨~雷阵雨,东南风2级,22 优
2022-05-31 周二,31°,25°,阴~雷阵雨,东南风2级,25 优

2022-06-01 周三,31°,25°,多云~雷阵雨,南风2级,27 优
2022-06-02 周四,30°,26°,多云~雷阵雨,南风3级,27 优
2022-06-03 周五,32°,26°,中雨~雷阵雨,南风3级,25 优
2022-06-04 周六,32°,26°,阴~中雨,南风3级,31 优
2022-06-05 周日,32°,25°,多云~雷阵雨,西南风3级,29 优
2022-06-06 周一,32°,24°,小雨~大雨,西南风2级,28 优
2022-06-07 周二,27°,24°,大雨,东风1级,28 优
2022-06-08 周三,28°,24°,阴~中雨,东南风2级,24 优
2022-06-09 周四,26°,24°,暴雨~中雨,东南风2级,20 优
2022-06-10 周五,29°,25°,中雨,南风2级,18 优
2022-06-11 周六,27°,26°,阴~中雨,东南风2级,22 优
2022-06-12 周日,29°,26°,阴~雷阵雨,西南风2级,25 优
2022-06-13 周一,31°,24°,大雨~暴雨,西南风2级,30 优
2022-06-14 周二,27°,24°,中雨~大雨,东北风1级,24 优
2022-06-15 周三,30°,24°,多云~大雨,东南风1级,25 优
2022-06-16 周四,30°,24°,小雨~阵雨,东南风1级,26 优
2022-06-17 周五,31°,24°,多云~暴雨,南风3级,25 优
2022-06-18 周六,31°,25°,小雨~大雨,东南风3级,27 优
2022-06-19 周日,31°,25°,多云~雷阵雨,南风3级,32 优
2022-06-20 周一,30°,26°,小雨~雷阵雨,南风3级,31 优
2022-06-21 周二,29°,27°,多云~阴,东南风3级,35 优
2022-06-22 周三,33°,26°,多云,东南风3级,27 优
2022-06-23 周四,34°,26°,多云,东南风3级,31 优
2022-06-24 周五,34°,25°,多云,南风2级,28 优
2022-06-25 周六,32°,25°,多云,南风3级,27 优
2022-06-26 周日,34°,26°,多云,南风3级,23 优
2022-06-27 周一,33°,25°,多云,南风3级,28 优
2022-06-28 周二,34°,26°,多云,东南风3级,33 优
2022-06-29 周三,35°,26°,小雨~雷阵雨,东南风2级,38 优
2022-06-30 周四,32°,25°,多云~中雨,东风3级,24 优

2022-07-01 周五,32°,25°,多云~大雨,东北风3级,18 优
2022-07-02 周六,27°,25°,大雨,东风4级,14 优
2022-07-03 周日,29°,25°,暴雨~大雨,东南风4级,25 优
2022-07-04 周一,28°,26°,中雨~大雨,南风3级,25 优
2022-07-05 周二,30°,26°,多云~中雨,南风2级,31 优
2022-07-06 周三,30°,26°,多云~中雨,东南风2级,30 优
2022-07-07 周四,30°,26°,暴雨~雷阵雨,东南风2级,24 优
2022-07-08 周五,34°,26°,多云~雷阵雨,东南风2级,33 优
2022-07-09 周六,34°,26°,多云,东南风2级,36 优
2022-07-10 周日,36°,26°,多云,东南风2级,29 优
2022-07-11 周一,35°,26°,多云~晴,东南风2级,27 优
2022-07-12 周二,35°,26°,多云,东南风2级,36 优
2022-07-13 周三,36°,26°,多云~晴,东南风2级,44 优
2022-07-14 周四,35°,26°,晴~雷阵雨,南风2级,38 优
2022-07-15 周五,35°,26°,中雨~多云,西南风2级,24 优
2022-07-16 周六,35°,26°,多云~晴,西南风3级,30 优
2022-07-17 周日,35°,27°,多云~雷阵雨,西南风3级,31 优
2022-07-18 周一,35°,28°,多云~雷阵雨,南风3级,33 优
2022-07-19 周二,34°,27°,多云,东南风3级,31 优
2022-07-20 周三,35°,26°,多云~晴,东南风3级,20 优
2022-07-21 周四,35°,26°,多云~晴,东南风3级,24 优
2022-07-22 周五,37°,26°,晴,西南风2级,37 优
2022-07-23 周六,37°,27°,晴,西南风2级,59 良
2022-07-24 周日,38°,27°,晴,西南风2级,67 良
2022-07-25 周一,37°,27°,晴,南风2级,73 良
2022-07-26 周二,37°,28°,晴,东南风3级,67 良
2022-07-27 周三,37°,27°,多云~晴,南风2级,65 良
2022-07-28 周四,38°,27°,晴~多云,西南风2级,68 良
2022-07-29 周五,38°,27°,多云~晴,南风2级,73 良
2022-07-30 周六,36°,27°,多云~雷阵雨,东南风2级,49 优
2022-07-31 周日,36°,26°,晴~雷阵雨,西南风2级,81 良

2022-08-01 周一,36°,26°,多云~雷阵雨,南风2级,43 优
2022-08-02 周二,37°,25°,多云~中雨,南风2级,41 优
2022-08-03 周三,33°,25°,阴~暴雨,东南风2级,35 优
2022-08-04 周四,28°,25°,小雨~大雨,东风2级,24 优
2022-08-05 周五,31°,25°,多云~雷阵雨,东南风3级,18 优
2022-08-06 周六,33°,25°,多云~雷阵雨,东南风2级,25 优
2022-08-07 周日,34°,25°,多云,东南风2级,30 优
2022-08-08 周一,33°,25°,多云~雷阵雨,东南风3级,28 优
2022-08-09 周二,30°,24°,小雨~大雨,东北风3级,15 优
2022-08-10 周三,30°,25°,小雨~中雨,东风4级,14 优
2022-08-11 周四,30°,25°,小雨~雷阵雨,东南风3级,17 优
2022-08-12 周五,28°,25°,多云~雷阵雨,东南风2级,21 优
2022-08-13 周六,31°,24°,多云,东南风2级,40 优
2022-08-14 周日,34°,25°,多云,南风2级,41 优
2022-08-15 周一,36°,27°,多云,东南风2级,35 优
2022-08-16 周二,34°,26°,阴~雷阵雨,东南风2级,32 优
2022-08-17 周三,32°,26°,多云~雷阵雨,东南风3级,26 优
2022-08-18 周四,31°,25°,大雨~阵雨,东南风2级,31 优
2022-08-19 周五,32°,25°,多云~雷阵雨,东南风3级,25 优
2022-08-20 周六,33°,26°,阴~雷阵雨,东南风3级,23 优
2022-08-21 周日,31°,26°,小雨~多云,东南风3级,25 优
2022-08-22 周一,34°,26°,多云,西南风2级,31 优
2022-08-23 周二,36°,26°,多云,西北风2级,42 优
2022-08-24 周三,36°,26°,多云~大雨,东风3级,50 优
2022-08-25 周四,28°,25°,中雨,东南风4级,17 优
2022-08-26 周五,32°,25°,小雨~多云,东南风3级,22 优
2022-08-27 周六,34°,26°,多云,西南风2级,41 优
2022-08-28 周日,36°,26°,多云,南风2级,60 良
2022-08-29 周一,33°,26°,多云,东南风2级,50 优
2022-08-30 周二,31°,26°,大雨~雷阵雨,西南风1级,41 优
2022-08-31 周三,34°,25°,多云,东北风2级,37 优

2022-09-01 周四,31°,25°,多云,北风3级,35 优
2022-09-02 周五,31°,25°,多云~晴,北风3级,34 优
2022-09-03 周六,32°,24°,多云~晴,西北风3级,42 优
2022-09-04 周日,33°,24°,多云~晴,西北风3级,45 优
2022-09-05 周一,34°,24°,多云,西北风2级,64 良
2022-09-06 周二,35°,25°,多云~雷阵雨,东北风2级,64 良
2022-09-07 周三,32°,24°,多云~雷阵雨,东南风2级,49 优
2022-09-08 周四,34°,25°,多云~雷阵雨,东南风2级,41 优
2022-09-09 周五,34°,24°,多云,西北风2级,53 良
2022-09-10 周六,34°,24°,多云,南风1级,86 良
2022-09-11 周日,34°,24°,多云~晴,西北风2级,55 良
2022-09-12 周一,35°,24°,多云~晴,北风2级,65 良
2022-09-13 周二,36°,23°,晴,西北风2级,72 良
2022-09-14 周三,35°,23°,晴,西北风2级,71 良
2022-09-15 周四,35°,23°,晴,北风2级,72 良
2022-09-16 周五,35°,23°,晴,西北风2级,74 良
2022-09-17 周六,35°,24°,多云~晴,西北风1级,98 良
2022-09-18 周日,37°,25°,多云~晴,西风2级,80 良
2022-09-19 周一,35°,25°,多云,西北风2级,63 良
2022-09-20 周二,34°,24°,多云~雷阵雨,东南风2级,70 良
2022-09-21 周三,31°,25°,多云~雷阵雨,东南风2级,68 良
2022-09-22 周四,32°,24°,多云,东南风2级,70 良
2022-09-23 周五,32°,24°,多云,东北风2级,62 良
2022-09-24 周六,33°,25°,多云~晴,东风2级,58 良
2022-09-25 周日,34°,24°,多云~晴,东风2级,61 良
2022-09-26 周一,34°,24°,晴~多云,东北风2级,68 良
2022-09-27 周二,33°,24°,多云,东风2级,50 优
2022-09-28 周三,33°,25°,多云,东南风3级,44 优
2022-09-29 周四,33°,24°,阴~多云,东南风2级,42 优
2022-09-30 周五,31°,24°,中雨~多云,东南风3级,23 优

2022-10-01 周六,32°,24°,多云~雷阵雨,东南风2级,26 优
2022-10-02 周日,34°,24°,多云~晴,东南风3级,30 优
2022-10-03 周一,34°,25°,多云~晴,东南风2级,27 优
2022-10-04 周二,35°,24°,晴~雷阵雨,西南风1级,44 优
2022-10-05 周三,33°,24°,多云~雷阵雨,东南风2级,50 优
2022-10-06 周四,34°,23°,多云~雷阵雨,东南风2级,35 优
2022-10-07 周五,31°,23°,多云,北风2级,48 优
2022-10-08 周六,29°,21°,多云,东北风2级,35 优
2022-10-09 周日,30°,19°,多云~晴,北风3级,40 优
2022-10-10 周一,26°,16°,晴,东北风4级,33 优
2022-10-11 周二,27°,16°,晴,北风3级,37 优
2022-10-12 周三,29°,17°,晴,东北风2级,45 优
2022-10-13 周四,30°,16°,晴,北风2级,45 优
2022-10-14 周五,31°,18°,晴,东北风3级,49 优
2022-10-15 周六,31°,19°,晴,北风3级,50 优
2022-10-16 周日,31°,20°,多云,北风4级,52 良
2022-10-17 周一,29°,19°,多云~阴,北风4级,54 良
2022-10-18 周二,24°,15°,多云~小雨,东北风4级,65 良
2022-10-19 周三,25°,19°,多云,东北风3级,48 优
2022-10-20 周四,28°,19°,多云~晴,东北风2级,49 优
2022-10-21 周五,32°,19°,晴,东风1级,75 良
2022-10-22 周六,34°,20°,多云,东北风2级,60 良
2022-10-23 周日,34°,20°,晴,东北风2级,58 良
2022-10-24 周一,31°,18°,多云~晴,东风2级,66 良
2022-10-25 周二,30°,17°,多云~晴,东南风2级,74 良
2022-10-26 周三,29°,17°,晴,东南风2级,77 良
2022-10-27 周四,30°,18°,晴,东南风2级,73 良
2022-10-28 周五,30°,20°,晴,东北风2级,59 良
2022-10-29 周六,28°,20°,晴,东北风3级,39 优
2022-10-30 周日,28°,19°,晴~多云,北风4级,32 优
2022-10-31 周一,27°,19°,多云~阵雨,北风4级,47 优

2022-11-01 周二,26°,19°,多云~小雨,东北风4级,43 优
2022-11-02 周三,19°,18°,小雨,北风4级,31 优
2022-11-03 周四,20°,18°,小雨~阵雨,东北风3级,17 优
2022-11-04 周五,21°,17°,小雨,北风3级,15 优
2022-11-05 周六,20°,16°,多云~小雨,北风3级,21 优
2022-11-06 周日,19°,16°,小雨,东北风2级,22 优
2022-11-07 周一,21°,18°,小雨,东北风2级,23 优
2022-11-08 周二,21°,18°,小雨,东北风2级,20 优
2022-11-09 周三,27°,18°,多云,东北风1级,27 优
2022-11-10 周四,28°,19°,多云,东南风1级,69 良
2022-11-11 周五,30°,20°,多云~晴,东南风1级,88 良
2022-11-12 周六,29°,19°,多云~晴,东南风1级,79 良
2022-11-13 周日,31°,19°,晴~多云,东风1级,73 良
2022-11-14 周一,28°,20°,多云,东北风2级,61 良
2022-11-15 周二,27°,20°,多云~阴,东北风1级,83 良
2022-11-16 周三,26°,21°,多云~阴,东南风2级,70 良
2022-11-17 周四,27°,20°,多云~小雨,东南风2级,52 良
2022-11-18 周五,29°,20°,多云,东南风2级,56 良
2022-11-19 周六,29°,19°,多云,东北风2级,51 良
2022-11-20 周日,29°,20°,多云,东北风2级,34 优
2022-11-21 周一,29°,19°,多云~中雨,东南风2级,50 优
2022-11-22 周二,23°,20°,小雨,东风2级,27 优
2022-11-23 周三,22°,19°,小雨~中雨,东北风2级,14 优
2022-11-24 周四,22°,19°,中雨~小雨,东北风2级,13 优
2022-11-25 周五,22°,20°,小雨~中雨,东北风2级,19 优
2022-11-26 周六,22°,20°,小雨,东北风2级,17 优
2022-11-27 周日,25°,22°,多云,东南风3级,37 优
2022-11-28 周一,29°,22°,多云,东南风3级,34 优
2022-11-29 周二,28°,15°,多云~小雨,东南风2级,26 优
2022-11-30 周三,18°,9°,多云~阴,北风4级,23 优

2022-12-01 周四,12°,9°,多云~阴,北风4级,-
2022-12-02 周五,15°,10°,多云,北风3级,-
2022-12-03 周六,19°,12°,多云,北风2级,-
2022-12-04 周日,18°,12°,多云~阴,北风3级,-
2022-12-05 周一,14°,9°,多云,北风4级,-
2022-12-06 周二,15°,12°,多云~阴,北风3级,-
2022-12-07 周三,20°,11°,多云~晴,北风3级,-
2022-12-08 周四,22°,11°,多云~晴,北风3级,-
2022-12-09 周五,21°,12°,晴,北风3级,-
2022-12-10 周六,21°,11°,晴~多云,北风3级,-
2022-12-11 周日,16°,11°,多云,北风4级,-
2022-12-12 周一,17°,9°,晴~多云,北风4级,-
2022-12-13 周二,15°,10°,多云~阴,北风3级,-
2022-12-14 周三,14°,10°,多云~小雨,东北风3级,-
2022-12-15 周四,13°,12°,小雨,东北风2级,-
2022-12-16 周五,15°,8°,小雨~阴,北风3级,-
2022-12-17 周六,13°,4°,多云~晴,北风5级,-
2022-12-18 周日,14°,5°,晴,北风4级,-
2022-12-19 周一,19°,7°,晴~多云,东北风2级,-
2022-12-20 周二,20°,9°,晴~多云,东北风2级,-
2022-12-21 周三,20°,6°,多云~晴,北风4级,-
2022-12-22 周四,21°,8°,晴,东北风3级,-
2022-12-23 周五,22°,7°,多云~晴,东北风2级,-
2022-12-24 周六,22°,7°,晴,东北风3级,-
2022-12-25 周日,22°,6°,晴,东北风2级,-
2022-12-26 周一,22°,7°,晴,东北风2级,-
2022-12-27 周二,22°,8°,晴~多云,东北风2级,-
